Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000021948,Prkcd,Gene Expression,0.8846593481771446,0.0,0.0,30289,7.1730068614647955,1647
ENSMUSG00000090121,Abhd12b,Gene Expression,0.8573588131673567,0.0,0.0,6943,1.7272264061867242,822
ENSMUSG00000070570,Slc17a7,Gene Expression,0.8513053198302452,0.0,0.0,186067,31.1984968558211,3341
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.8347122716802546,0.0,0.0,13564,3.3421508541830347,1846
ENSMUSG00000064179,Tnnt1,Gene Expression,0.8224694306852148,0.0,0.0,9391,2.3019919325605516,1212
ENSMUSG00000041046,Ramp3,Gene Expression,0.8168876592203308,0.0,0.0,12580,3.1183976129855013,1946
ENSMUSG00000053310,Nrgn,Gene Expression,0.810913876118117,0.0,0.0,60608,10.418354701655298,2900
ENSMUSG00000035383,Pmch,Gene Expression,0.803770589183568,0.0,0.0,120993,15.688938331221443,780
ENSMUSG00000047507,Baiap3,Gene Expression,0.8004828631108909,0.0,0.0,10924,1.440199543434857,1173
ENSMUSG00000038112,AW551984,Gene Expression,0.7984388669887532,0.0,0.0,11833,1.54090915094471,1204
ENSMUSG00000061808,Ttr,Gene Expression,0.7957765427446144,0.0,0.0,357607,53.13344361545856,920
ENSMUSG00000032532,Cck,Gene Expression,0.7924130407639253,0.0,0.0,114974,21.220648986260574,3556
ENSMUSG00000030500,Slc17a6,Gene Expression,0.7857108589746535,0.0,0.0,15855,3.2773053978657884,2291
ENSMUSG00000032368,Zic1,Gene Expression,0.783716780265549,0.0,0.0,11540,2.6549203158222823,1779
ENSMUSG00000090223,Pcp4,Gene Expression,0.7834875236793655,0.0,0.0,169355,38.52286176523664,3972
ENSMUSG00000050315,Synpo2,Gene Expression,0.7777695822207225,0.0,0.0,5478,1.356901226654914,1359
ENSMUSG00000040624,Plekhg1,Gene Expression,0.7712009603831297,0.0,0.0,17904,4.69134029346155,2275
ENSMUSG00000059213,Ddn,Gene Expression,0.7689673499988144,0.0,0.0,27429,6.397560817141699,2736
ENSMUSG00000020732,Rab37,Gene Expression,0.7657306503449431,0.0,0.0,5050,1.249459864254373,1146
ENSMUSG00000026475,Rgs16,Gene Expression,0.7655599069057977,0.0,0.0,7652,1.8583451047479702,1811
ENSMUSG00000032517,Mobp,Gene Expression,0.7627784890836035,0.0,0.0,82508,36.92528556700319,3984
ENSMUSG00000045471,Hcrt,Gene Expression,0.7613133330400091,0.0,0.0,12224,1.5386845980369492,259
ENSMUSG00000041607,Mbp,Gene Expression,0.757069618584941,0.0,0.0,169058,70.89021876023222,4260
ENSMUSG00000046447,Camk2n1,Gene Expression,0.7522087392088513,0.0,0.0,210655,45.792830207637394,4290
ENSMUSG00000059857,Ntng1,Gene Expression,0.7520506671459743,0.0,0.0,6269,1.3944240453681376,1715
ENSMUSG00000031344,Gabrq,Gene Expression,0.7505947316200865,0.0,0.0,4078,0.4819147285787675,711
ENSMUSG00000027296,Itpka,Gene Expression,0.7490203595416959,0.0,0.0,26818,4.56082553519097,2406
ENSMUSG00000003657,Calb2,Gene Expression,0.7474123695387376,0.0,0.0,21422,3.6839995296540855,1846
ENSMUSG00000024617,Camk2a,Gene Expression,0.7469884865560412,0.0,0.0,121557,28.685816181555232,4076
ENSMUSG00000054667,Irs4,Gene Expression,0.7451924811337021,0.0,0.0,3245,0.33253960690019335,515
ENSMUSG00000038764,Ptpn3,Gene Expression,0.7392124443558927,0.0,0.0,18201,3.9786751498934056,2855
ENSMUSG00000006930,Hap1,Gene Expression,0.7388687463835667,0.0,0.0,45388,6.526883653015633,3192
ENSMUSG00000037126,Psd,Gene Expression,0.7366033110580283,0.0,0.0,69464,14.43327462902828,3869
